Issuer Name,Ticker,Coupon Type,CUSIP,Mid Price,S&P Rating,Cpn,Maturity
Johnson & Johnson,JNJ,FIXED,478160AF1,114.0125,AAA,6.73,11/15/23
Smithsonian Institution,SMITHI,FIXED,832432AM0,101.8315,AAA,1.767,9/1/28
Johnson & Johnson,JNJ,FIXED,478160BN3,100.5,AAA,2.45,12/5/21
Microsoft Corp,MSFT,FIXED,594918AQ7,102.2255,AAA,2.125,11/15/22
Johnson & Johnson,JNJ,FIXED,478160BH6,106.956,AAA,3.375,12/5/23
Johnson & Johnson,JNJ,FIXED,478160AJ3,139.9695,AAA,6.95,9/1/29
Princeton Theological Seminary,PRISEM,FIXED,742404AL0,108.179,AAA,4.275,7/1/24
Smithsonian Institution,SMITHI,FIXED,832432AJ7,101.013,AAA,1.218,9/1/25
President and Fellows of Harvard College,HARVRD,FIXED,740816AJ2,102.935,AAA,2.3,10/1/23
Johnson & Johnson,JNJ,FIXED,478160AR5,115.541,AAA,5.5,11/6/24
Henry J Kaiser Family Foundation/CA,KFFORG,FIXED,426767AA7,107.5,AAA,3.356,12/1/25
Princeton Theological Seminary,PRISEM,FIXED,742404AJ5,102.3245,AAA,4.005,7/1/22
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAL6,102.768,AAA,2.787,12/1/23
Massachusetts Institute of Technology,MASSIN,FIXED,575718AD3,110.968,AAA,3.308,7/1/26
Leland Stanford Junior University/The,STNFRD,FIXED,525555AB4,115.022,AAA,6.875,2/1/24
Smithsonian Institution,SMITHI,FIXED,832432AL2,101.46,AAA,1.614,9/1/27
Smithsonian Institution,SMITHI,FIXED,832432AG3,100.97,AAA,0.974,9/1/23
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DBP6,100.293,AAA,2.571,12/1/21
Smithsonian Institution,SMITHI,FIXED,832432AF5,100.5535,AAA,0.895,9/1/22
Smithsonian Institution,SMITHI,FIXED,832432AN8,101.36,AAA,1.867,9/1/29
Smithsonian Institution,SMITHI,FIXED,832432AH1,101.123,AAA,1.118,9/1/24
Smithsonian Institution,SMITHI,FIXED,832432AK4,101.654,AAA,1.514,9/1/26
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DBR2,102.7955,AAA,2.812,12/1/23
Trustees of Princeton University/The,PRNCTN,FIXED,89837LAD7,105.2675,AAA,2.612,7/1/26
Princeton Theological Seminary,PRISEM,FIXED,742404AN6,112.464,AAA,4.555,7/1/26
Princeton Theological Seminary,PRISEM,FIXED,742404AK2,106.235,AAA,4.105,7/1/23
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAJ1,100.269,AAA,2.437,12/1/21
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DBT8,104.6215,AAA,3.162,12/1/25
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCD2,102.4985,AAA,2.584,11/1/23
Princeton Theological Seminary,PRISEM,FIXED,742404AM8,110.3655,AAA,4.455,7/1/25
Massachusetts Institute of Technology,MASSIN,FIXED,57571KAA2,126.265,AAA,7.125,11/2/26
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCC4,101.4045,AAA,2.447,11/1/22
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCB6,100.153,AAA,2.247,11/1/21
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAK8,101.539,AAA,2.587,12/1/22
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DBQ4,101.6785,AAA,2.721,12/1/22
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DBS0,103.8,AAA,3.012,12/1/24
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCH3,104.64,AAA,3.074,11/1/27
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCF7,103.9165,AAA,2.874,11/1/25
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAM4,103.764,AAA,2.987,12/1/24
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAN2,104.577,AAA,3.137,12/1/25
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAQ5,105.562,AAA,3.337,12/1/27
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DAP7,105.1175,AAA,3.237,12/1/26
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCG5,104.3305,AAA,2.974,11/1/26
Institute for Advanced Study-Louis Bamberger and Mrs Felix Fuld Foundation,IASLFF,FIXED,45780DCE0,103.268,AAA,2.734,11/1/24